|     17 | MK45 2AB   | 52.0294170000 | -0.4445400000 |
|     18 | RG5 3AY    | 51.4605520000 | -0.9145200000 |
|     19 | RG5 4DN    | 51.4431710000 | -0.8943700000 |
|     20 | BS11 0BU   | 51.4898630000 | -2.6756980000 |
|     21 | BS11 0DG   | 51.4909790000 | -2.6786530000 |
|     31 | NE9 5AL    | 54.9391100000 | -1.5992330000 |
|     33 | NE9 5AL    | 54.9391100000 | -1.5992330000 |
|     32 | NE9 5AX    | 54.9434440000 | -1.6026870000 |
|     34 | NE9 5AL    | 54.9391100000 | -1.5992330000 |
|     36 | NE9 5AL    | 54.9391100000 | -1.5992330000 |
|     35 | NE9 5AX    | 54.9434440000 | -1.6026870000 |
|     37 |      PL31 2BA  | 50.4859620000 | -4.7072810000 |
|     38 |      PL31 2DP  | 50.4714000000 | -4.7176680000 |
|      4 |      PL31 2BW  | 50.4734150000 | -4.7087910000 |
|     22 | DE12 6AF   | 52.7358780000 | -1.5344130000 |
|     23 |      DE12 6BJ  | 52.7308710000 | -1.5392050000 |
|     24 |      CA28 0BF  | 54.5446340000 | -3.5904260000 |
|     25 |      CA28 0SB  | 54.5457490000 | -3.5890310000 |
|     26 | HU9 1DP    | 53.7476910000 | -0.3217920000 |
|     27 | HU9 1EF    | 53.7489710000 | -0.3207550000 |
|     28 |      DT4 0AB   | 50.6110800000 | -2.4605550000 |
|     29 |      DT4 0BS   | 50.6062090000 | -2.4708660000 |
|     30 |              DH6 4LD  | 54.7199860000 | -1.5073340000 |
|     39 |      DH6 4PA   | 54.7178010000 | -1.4980920000 |
|     40 | HU6 0AP    | 53.8039530000 | -0.3752470000 |
|     41 | HU6 7AS    | 53.7888320000 | -0.3599070000 |
|     42 | HU6 7EA    | 53.7828450000 | -0.3540240000 |
|     43 | TN36 4AH   | 50.9120030000 |  0.6829460000 |
|     44 | TN36 4AY   | 50.9216070000 |  0.6539010000 |
|     45 | TN36 4ZU   | 50.9515610000 |  0.7313880000 |
|     46 | SS7 1BN    | 51.5651190000 |  0.5672180000 |
|     47 | SS7 1DE    | 51.5561100000 |  0.5642440000 |
|     48 | SS7 1JH    | 51.5542070000 |  0.5640940000 |
|     49 | M60 0YZ    | 53.4873620000 | -2.2271970000 |
|     50 | M60 1WD    | 53.4873620000 | -2.2271970000 |
+--------+------------+---------------+---------------+
50 rows in set (0.00 sec)

mysql> select * from edgesnodes;
+------+--------+--------+
| vnID | nodeid | edgeID |
+------+--------+--------+
|    1 |      1 |      1 |
|    2 |      3 |      1 |
|    3 |      1 |      2 |
|    4 |      2 |      2 |
|    5 |      3 |      3 |
|    6 |      5 |      3 |
|    7 |      2 |      4 |
|    8 |      6 |      4 |
|    9 |      2 |      5 |
|   10 |      7 |      5 |
|   11 |      5 |      6 |
|   12 |      6 |      6 |
|   13 |     15 |     23 |
|   14 |     18 |     20 |
|   15 |     16 |     22 |
|   16 |     13 |     18 |
|   17 |     23 |     42 |
|   18 |     24 |     27 |
|   19 |     26 |     29 |
|   20 |     28 |     31 |
|   21 |     30 |     33 |
|   22 |     32 |     35 |
|   23 |     34 |     37 |
|   24 |     36 |     39 |
|   25 |     38 |     41 |
|   26 |     40 |     43 |
|   27 |     42 |     45 |
|   28 |     44 |     47 |
|   29 |     46 |     49 |
|   30 |     48 |     50 |
|   31 |     50 |     13 |
|   32 |     49 |     15 |
|   33 |     47 |     14 |
|   34 |     45 |     16 |
|   35 |     43 |     17 |
|   36 |     41 |     19 |
|   37 |     39 |     21 |
|   38 |     37 |     48 |
|   39 |     35 |     46 |
|   40 |     33 |     24 |
|   41 |     29 |     25 |
|   42 |     27 |     26 |
|   43 |     25 |     28 |
|   44 |     21 |     30 |
|   45 |     17 |     32 |
|   46 |     14 |     34 |
|   47 |     19 |     36 |
|   48 |     20 |     38 |
|   49 |     22 |     40 |
|   50 |     31 |     44 |
+------+--------+--------+
50 rows in set (0.00 sec)

mysql> select * from edgesnodes;
+------+--------+--------+
| vnID | nodeid | edgeID |
+------+--------+--------+
|    1 |      1 |      1 |
|    2 |      3 |      1 |
|    3 |      1 |      2 |
|    4 |      2 |      2 |
|    5 |      3 |      3 |
|    6 |      5 |      3 |
|    7 |      2 |      4 |
|    8 |      6 |      4 |
|    9 |      2 |      5 |
|   10 |      7 |      5 |
|   11 |      5 |      6 |
|   12 |      6 |      6 |
|   13 |     15 |     23 |
|   14 |     18 |     20 |
|   15 |     16 |     22 |
|   16 |     13 |     18 |
|   17 |     23 |     42 |
|   18 |     24 |     27 |
|   19 |     26 |     29 |
|   20 |     28 |     31 |
|   21 |     30 |     33 |
|   22 |     32 |     35 |
|   23 |     34 |     37 |
|   24 |     36 |     39 |
|   25 |     38 |     41 |
|   26 |     40 |     43 |
|   27 |     42 |     45 |
|   28 |     44 |     47 |
|   29 |     46 |     49 |
|   30 |     48 |     50 |
|   31 |     50 |     13 |
|   32 |     49 |     15 |
